B,dBf,dBs,h0f,h0s,p0s,year,row,Qs,Qf,gs,gf,p0f,c0rs,crs,rmT,rmN,ef,es,l,PHIff,PHIfrT,PHIfs,PHIsf,PHIsrT,PHIss,PHIsrN,PHIfrN
910,75.4,75.4,45.3,42.7,67000,1966,27,12.563636363636363,2.1538461538461537,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1967,28,12.936363636363636,2.4615384615384617,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1968,29,13.309090909090907,2.769230769230769,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1969,30,13.68181818181818,3.076923076923077,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1970,31,14.054545454545455,3.3846153846153846,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1971,32,14.427272727272726,3.6923076923076925,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1972,33,14.799999999999999,4,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1973,34,15.172727272727272,4,0.7,0.7,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1974,35,15.545454545454543,4,0.8,0.8,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1975,36,15.918181818181818,4,0.9,0.9,32000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1976,37,16.29090909090909,4,0.925,0.925,32000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1977,38,16.663636363636364,4,0.9500000000000001,0.9500000000000001,32000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1978,39,17.036363636363635,4,0.975,0.975,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1979,40,17.409090909090907,4,1,1,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1980,41,17.78181818181818,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1981,42,18.154545454545456,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1982,43,18.527272727272727,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1983,44,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1984,45,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
